Asset Tag,Serial Number,Model Name,Asset Type
LT-009868,9WCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
ITSG010877-L,J20SJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-009711,8DCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009700,HFCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
ITSG010913-L,4MXRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-010087,8FCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
ITSG010887-L,99TRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-009883,2WCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009093,5D8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-010056,2GCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-006743,5NZGV93,Latitude 5320 13inch i5 16GB,Laptop
LT-010009,9VCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009985,2TCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009067,1B7HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009078,687HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-010095,JFCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010023,DHCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009762,6MCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-006774,2N0HV93,Latitude 5320 13inch i5 16GB,Laptop
LT-009866,CXCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009122,BD8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
ITSG010917-L,BKVRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
ITSG010904-L,130SJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
ITSG010827-L,DMXRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-007128,CPDW9G3,Latitude 5320 13inch i5 8GB,Laptop
LT-009856,FHCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
ITSG010834-L,910SJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
ITSG010859-L,BNXRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-007045,H3GW9G3,Latitude 5320 13inch i5 8GB,Laptop
ITSG010861-L,6JVRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-009811,4JCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010066,1DCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009809,3DCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010120,JVCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009050,3B7HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-007341,6YDW9G3,Latitude 5320 13inch i5 8GB,Laptop
LT-009904,72FWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010111,3JCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010059,5JCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-006773,F20HV93,Latitude 5320 13inch i5 16GB,Laptop
LT-010032,2KCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010046,CJCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-007124,8PDW9G3,Latitude 5320 13inch i5 8GB,Laptop
LT-009120,1F8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-010018,FGCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009132,8P8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-010069,BDCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
ITSG010853-L,B10SJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-009782,1JCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-007222,1WDW9G3,Latitude 5320 13inch i5 8GB,Laptop
LT-009816,8GCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009873,8VCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010017,CKCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009063,GP8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-010094,2JCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010055,9GCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009957,JTCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010003,CVCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009875,7LCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-007095,JYFW9G3,Latitude 5320 13inch i5 8GB,Laptop
LT-010020,6KCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
ITSG010895-L,19TRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-009921,3VCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010088,1FCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009064,2P8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009713,3FCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010097,FJCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-006788,9M0HV93,Latitude 5320 13inch i5 16GB,Laptop
LT-009057,G97HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009154,6D8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009902,91FWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010041,DKCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009878,8RCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010125,8WCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010077,1GCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-006471,JH1SR93,Latitude 5320 13inch i5 8GB 256GB,Laptop
LT-007217,23GW9G3,Latitude 5320 13inch i5 8GB 256GB,Laptop
LT-009151,5F8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-006778,B20HV93,Latitude 5320,Laptop
LT-006810,6RZGV93,Latitude 5320 13inch i5 16GB,Laptop
LT-009098,5C8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
ITSG010884-L,930SJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-009077,F77HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-010084,BGCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009150,2D8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009950,1RCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009791,HKCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009935,G3FWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009107,9D8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-007216,J2GW9G3,Latitude 5320 13inch i5 8GB 256GB,Laptop
LT-010110,81FWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009144,3D8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
ITSG010847-L,5LXRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-009729,DPCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
ITSG010916-L,3KVRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-009719,3HCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010096,8JCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
ITSG010881-L,CLVRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-009825,2FCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
ITSG010848-L,3PXRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-009118,7C8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009996,DXCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010108,GDCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-006893,96KW9G3,Latitude 5320 13inch i5 8GB 256GB,Laptop
LT-009959,7SCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009892,6WCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009763,FMCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010117,4YCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010025,1KCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009788,1KCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009888,1MCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010000,GMCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009734,3GCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-006972,HPGW9G3,Latitude 5320 13inch i5 8GB,Laptop
LT-010122,73FWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-007174,6MFW9G3,Latitude 5320 13inch i5 8GB 256GB,Laptop
LT-009941,22FWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
5371,5H45WZ2,Latitude 5300 13inch i5 8GB,Laptop
LT-007354,JWKW9G3,Latitude 5320 13inch i5 8GB,Laptop
LT-009764,CLCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-006411,HG1SR93,Latitude 5320 13inch i5 8GB,Laptop
ITSG010918-L,DLVRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-010005,BWCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010036,HCCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009790,FJCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009893,1XCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009081,9P8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009860,FVCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009936,C1FWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009822,4FCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
ITSG010919-L,2MVRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-010044,BHCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010083,GFCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009759,1NCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010060,7KCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009999,CWCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
ITSG010900-L,JNXRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-010008,BVCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009730,9DCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010002,42FWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009110,F87HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
ITSG010866-L,620SJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-009772,FPCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-006727,DM0HV93,Latitude 5320 13inch i5 16GB 256GB,Laptop
ITSG010903-L,B9TRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-010015,B2FWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-010043,DJCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-006780,JCZGV93,Latitude 5320 13inch i5 16GB 256GB,Laptop
LT-009928,51FWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009031,C97HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009082,797HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009841,2NCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
ITSG010892-L,B20SJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-010119,32FWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009826,7GCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009960,GRCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-009930,D3FWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
ITSG010911-L,H00SJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-009727,3QCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-007105,60DW9G3,Latitude 5320 13inch i5 8GB,Laptop
ITSG010862-L,710SJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
ITSG010858-L,7MXRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-009090,CP8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
ITSG010896-L,FMXRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
ITSG010902-L,D00SJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-009824,4GCWVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-007132,HZCW9G3,Latitude 5320 13inch i5 8GB,Laptop
LT-009156,6F8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
LT-009846,HMCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-007326,1TGW9G3,Latitude 5320 13inch i5 8GB,Laptop
LT-007203,F2GW9G3,Latitude 5320 13inch i5 8GB 256GB,Laptop
LT-007108,40DW9G3,Latitude 5320 13inch i5 8GB,Laptop
LT-006807,5PZGV93,Latitude 5320 13inch i5 16GB 256GB,Laptop
LT-009765,4PCXVL3,Latitude 5330 13inch i5 8GB 256GB,Laptop
LT-006958,4WKW9G3,Latitude 5320 13inch i5 8GB,Laptop
LT-007301,1ZFW9G3,Latitude 5320 13inch i5 8GB 256GB,Laptop
ITSG010857-L,6MVRJX3,Latitude 5340 13inch i5 16GB 256GB,Laptop
LT-007283,2VGW9G3,Latitude 5320 13inch i5 8GB 256GB,Laptop
LT-009143,GC8HVL3,Latitude 5330 13inch i5 16GB 256GB,Laptop
